Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2016,2,49,DET,Michael Gbinije,G,Syracuse University,9,3.6,0.4,0.3,0.2,0.0,0.0,.100,.000,1.000,-0.1,-0.136
2016,2,50,IND,Georges Niang,F,Iowa State University,87,6.1,2.4,1.1,0.4,0.1,0.0,.413,.358,.762,0.7,.060
2016,2,51,BOS,Ben Bentil,F,Providence College,3,3.3,0.0,0.7,0.0,0.0,0.0,.000,.000,,-0.1,-0.473
2016,2,52,UTA,Joel Bolomboy,F,Weber State University,18,5.1,1.7,1.5,0.1,0.2,0.1,.545,.200,.500,0.3,.132
2016,2,53,DEN,Petr Cornelie,F,,,,,,,,,,,,,
2016,2,54,ATL,Kay Felder,G,Oakland University,58,9.1,3.8,1.0,1.3,0.4,0.1,.364,.268,.754,-0.4,-0.041
2016,2,55,BRK,Marcus Paige,G,University of North Carolina,5,5.6,2.4,0.8,0.6,0.0,0.0,.286,.250,1.000,0.0,-0.006
2016,2,56,DEN,Daniel Hamilton,G-F,University of Connecticut,25,9.3,2.8,2.1,1.2,0.3,0.0,.394,.357,.500,0.0,.001
2016,2,57,MEM,Wang Zhelin,C,,,,,,,,,,,,,
2016,2,58,BOS,Abdel Nader,F,Iowa State University,107,11.2,3.5,1.7,0.4,0.3,0.2,.386,.340,.676,0.8,.031
2016,2,59,SAC,Isaiah Cousins,G,University of Oklahoma,,,,,,,,,,,,
2016,2,60,UTA,Tyrone Wallace,G,University of California,89,16.3,5.6,2.3,1.2,0.5,0.2,.430,.237,.684,0.5,.016
2015,1,1,MIN,Karl-Anthony Towns,C-F,University of Kentucky,321,34.4,22.2,11.9,2.6,0.8,1.5,.536,.392,.835,45.4,.197
2015,1,2,LAL,D'Angelo Russell,G,Ohio State University,269,28.5,16.5,3.7,5.1,1.2,0.2,.417,.351,.761,5.9,.037
2015,1,3,PHI,Jahlil Okafor,C-F,Duke University,187,20.9,11.3,5.1,0.9,0.3,0.9,.528,.154,.678,5.0,.062
2015,1,4,NYK,Kristaps Porzingis,F-C,,186,31.0,17.8,7.1,1.3,0.7,2.0,.437,.361,.804,12.1,.100
2015,1,5,ORL,Mario Hezonja,F-G,,274,18.8,7.2,3.0,1.3,0.7,0.3,.415,.321,.815,2.3,.022
2015,1,6,SAC,Willie Cauley-Stein,F-C,University of Kentucky,292,24.0,10.1,6.4,1.6,0.9,0.8,.533,.222,.610,17.1,.117
2015,1,7,DEN,Emmanuel Mudiay,G,,246,25.7,11.8,3.1,4.2,0.8,0.3,.393,.320,.742,-1.2,-0.009
2015,1,8,DET,Stanley Johnson,F,University of Arizona,285,21.6,7.0,3.4,1.5,0.9,0.2,.374,.293,.764,3.3,.026
2015,1,9,CHO,Frank Kaminsky,F-C,University of Wisconsin,278,22.1,9.7,3.9,1.6,0.5,0.4,.418,.349,.759,10.7,.083
2015,1,10,MIA,Justise Winslow,F,Duke University,226,28.2,8.9,5.3,2.6,0.9,0.4,.419,.344,.645,7.7,.058
2015,1,11,IND,Myles Turner,C-F,University of Texas at Austin,278,28.1,12.9,6.7,1.3,0.7,2.1,.494,.358,.771,22.0,.135
2015,1,12,UTA,Trey Lyles,F,University of Kentucky,287,17.5,7.6,3.9,1.1,0.4,0.3,.430,.330,.706,8.1,.077
2015,1,13,PHO,Devin Booker,G,University of Kentucky,272,32.9,21.4,3.5,4.2,0.8,0.3,.437,.354,.854,10.0,.054
2015,1,14,OKC,Cameron Payne,G,Murray State University,153,16.0,6.0,1.8,2.5,0.7,0.2,.397,.331,.775,2.3,.044
2015,1,15,ATL,Kelly Oubre,F,University of Kansas,292,22.1,9.4,3.7,0.8,0.8,0.4,.424,.321,.778,8.4,.063
2015,1,16,BOS,Terry Rozier,G,University of Louisville,269,20.0,7.7,3.6,2.3,0.7,0.2,.379,.353,.778,9.8,.087
2015,1,17,MIL,Rashad Vaughn,G,"University of Nevada, Las Vegas",139,12.0,3.0,1.1,0.5,0.4,0.2,.337,.313,.692,-0.6,-0.017
2015,1,18,HOU,Sam Dekker,F,University of Wisconsin,197,15.4,5.5,3.0,0.8,0.5,0.2,.484,.289,.606,5.5,.087
